url_stimulus,fd_level,n,n_h,n_a,bias
images/FD12/FD_12_0.png,FD12,102,39,10,-0.5918367346938775
images/FD12/FD_12_1.png,FD12,89,27,16,-0.2558139534883721
images/FD12/FD_12_10.png,FD12,91,26,21,-0.10638297872340426
images/FD12/FD_12_11.png,FD12,87,38,5,-0.7674418604651163
images/FD12/FD_12_12.png,FD12,95,25,29,0.07407407407407407
images/FD12/FD_12_13.png,FD12,116,32,20,-0.23076923076923078
images/FD12/FD_12_14.png,FD12,119,46,19,-0.4153846153846154
images/FD12/FD_12_15.png,FD12,91,32,28,-0.06666666666666667
images/FD12/FD_12_16.png,FD12,74,17,18,0.02857142857142857
images/FD12/FD_12_17.png,FD12,128,35,44,0.11392405063291139
images/FD12/FD_12_18.png,FD12,110,47,29,-0.23684210526315788
images/FD12/FD_12_19.png,FD12,108,42,27,-0.21739130434782608
images/FD12/FD_12_2.png,FD12,84,11,25,0.3888888888888889
images/FD12/FD_12_20.png,FD12,95,27,16,-0.2558139534883721
images/FD12/FD_12_21.png,FD12,93,28,14,-0.3333333333333333
images/FD12/FD_12_22.png,FD12,66,26,16,-0.23809523809523808
images/FD12/FD_12_23.png,FD12,116,42,23,-0.2923076923076923
images/FD12/FD_12_24.png,FD12,90,38,20,-0.3103448275862069
images/FD12/FD_12_25.png,FD12,114,30,21,-0.17647058823529413
images/FD12/FD_12_26.png,FD12,88,19,11,-0.26666666666666666
images/FD12/FD_12_27.png,FD12,99,49,10,-0.6610169491525424
images/FD12/FD_12_28.png,FD12,69,30,13,-0.3953488372093023
images/FD12/FD_12_29.png,FD12,119,63,6,-0.8260869565217391
images/FD12/FD_12_3.png,FD12,90,35,21,-0.25
images/FD12/FD_12_30.png,FD12,115,18,54,0.5
images/FD12/FD_12_31.png,FD12,90,42,7,-0.7142857142857143
images/FD12/FD_12_32.png,FD12,91,13,16,0.10344827586206896
images/FD12/FD_12_33.png,FD12,85,36,13,-0.46938775510204084
images/FD12/FD_12_34.png,FD12,144,34,43,0.11688311688311688
images/FD12/FD_12_35.png,FD12,106,41,15,-0.4642857142857143
images/FD12/FD_12_36.png,FD12,92,14,19,0.15151515151515152
images/FD12/FD_12_37.png,FD12,106,21,16,-0.13513513513513514
images/FD12/FD_12_38.png,FD12,92,21,22,0.023255813953488372
images/FD12/FD_12_39.png,FD12,76,24,10,-0.4117647058823529
images/FD12/FD_12_4.png,FD12,92,32,24,-0.14285714285714285
images/FD12/FD_12_40.png,FD12,113,30,12,-0.42857142857142855
images/FD12/FD_12_41.png,FD12,123,25,27,0.038461538461538464
images/FD12/FD_12_42.png,FD12,104,14,17,0.0967741935483871
images/FD12/FD_12_43.png,FD12,100,49,3,-0.8846153846153846
images/FD12/FD_12_44.png,FD12,107,42,14,-0.5
images/FD12/FD_12_45.png,FD12,74,24,25,0.02040816326530612
images/FD12/FD_12_46.png,FD12,92,22,30,0.15384615384615385
images/FD12/FD_12_47.png,FD12,92,40,15,-0.45454545454545453
images/FD12/FD_12_48.png,FD12,96,58,7,-0.7846153846153846
images/FD12/FD_12_49.png,FD12,96,27,24,-0.058823529411764705
images/FD12/FD_12_5.png,FD12,130,51,21,-0.4166666666666667
images/FD12/FD_12_50.png,FD12,111,41,16,-0.43859649122807015
images/FD12/FD_12_51.png,FD12,103,31,23,-0.14814814814814814
images/FD12/FD_12_52.png,FD12,102,61,4,-0.8769230769230769
images/FD12/FD_12_53.png,FD12,120,35,20,-0.2727272727272727
images/FD12/FD_12_54.png,FD12,91,24,31,0.12727272727272726
images/FD12/FD_12_55.png,FD12,109,45,19,-0.40625
images/FD12/FD_12_56.png,FD12,67,21,5,-0.6153846153846154
images/FD12/FD_12_57.png,FD12,81,18,25,0.16279069767441862
images/FD12/FD_12_58.png,FD12,98,44,13,-0.543859649122807
images/FD12/FD_12_59.png,FD12,85,32,17,-0.30612244897959184
images/FD12/FD_12_6.png,FD12,96,20,20,0.0
images/FD12/FD_12_60.png,FD12,89,28,13,-0.36585365853658536
images/FD12/FD_12_61.png,FD12,103,44,9,-0.660377358490566
images/FD12/FD_12_62.png,FD12,107,34,14,-0.4166666666666667
images/FD12/FD_12_63.png,FD12,147,52,22,-0.40540540540540543
images/FD12/FD_12_64.png,FD12,133,32,14,-0.391304347826087
images/FD12/FD_12_65.png,FD12,97,16,34,0.36
images/FD12/FD_12_66.png,FD12,61,15,17,0.0625
images/FD12/FD_12_67.png,FD12,94,30,21,-0.17647058823529413
images/FD12/FD_12_68.png,FD12,93,28,16,-0.2727272727272727
images/FD12/FD_12_69.png,FD12,104,24,49,0.3424657534246575
images/FD12/FD_12_7.png,FD12,92,31,14,-0.37777777777777777
images/FD12/FD_12_70.png,FD12,111,34,16,-0.36
images/FD12/FD_12_71.png,FD12,89,33,16,-0.3469387755102041
images/FD12/FD_12_72.png,FD12,107,48,8,-0.7142857142857143
images/FD12/FD_12_73.png,FD12,106,22,22,0.0
images/FD12/FD_12_74.png,FD12,91,18,42,0.4
images/FD12/FD_12_75.png,FD12,93,32,22,-0.18518518518518517
images/FD12/FD_12_76.png,FD12,89,26,14,-0.3
images/FD12/FD_12_77.png,FD12,94,40,21,-0.3114754098360656
images/FD12/FD_12_78.png,FD12,80,31,9,-0.55
images/FD12/FD_12_79.png,FD12,89,36,15,-0.4117647058823529
images/FD12/FD_12_8.png,FD12,134,29,41,0.17142857142857143
images/FD12/FD_12_80.png,FD12,117,44,21,-0.35384615384615387
images/FD12/FD_12_81.png,FD12,84,45,14,-0.5254237288135594
images/FD12/FD_12_82.png,FD12,123,21,65,0.5116279069767442
