,pareidolia_rate,mean_n_words,agreement,word_diversity
spectral_slope,0.37285598176036844,0.26965088073988547,0.2571308685405998,-0.04942125856403647
power_low,0.33706125681067844,0.2566971440947162,0.252600252476336,-0.07658796577133155
component_size_std,0.26892384781736434,0.1983664741110093,0.21994567511933044,-0.09096833240286867
tb_symmetry,0.23912887600359248,0.14420380937970526,0.18577771102449106,-0.05639280755655679
fourier_symmetry_lr,0.23077218798884397,0.1275523112381209,0.09043165047845322,-0.01584768519461384
mean_component_size,0.22322289595938427,0.18823761039385886,0.08865848903714431,-0.015860874005000903
spectral_residual,0.19110346220018343,0.16145056983061046,0.18621941417905516,-0.05141839054196647
lr_symmetry,0.18856873302848642,0.20744186141525983,0.16669945856479418,-0.0153983170557426
coarse_symmetry_lr,0.1838767757572421,0.20482443422860597,0.16353509164547086,-0.014801834503216114
grad_symmetry_lr,0.16606088201628072,0.17820693415350297,0.08047690722290005,-0.007006527049171478
kurtosis,0.10456648850127699,0.061796838639378716,0.03482304016498842,-0.0012941552402130699
largest_component,0.043335883984141566,0.060232574557552584,0.1401629527878199,-0.13537498130746245
skewness,-4.266963895117534e-06,-0.0013986886990528247,-0.07220047404663403,0.1028350987068713
mean,-0.0004456430637560403,0.0006001700153411282,0.07310722368799535,-0.10106354444247778
std,-0.1112456197471608,-0.068484494747101,-0.035044610286953354,-0.003593505052365935
pixel_entropy,-0.11192338482101863,-0.06919470269064737,-0.03506053666877873,-0.004114450051541079
power_mid,-0.33655552854862203,-0.2563059039063116,-0.2528788614283593,0.0780602208290488
power_high,-0.3380207252946329,-0.25744321229967576,-0.25166066261380315,0.0728028082968764
n_components,-0.35088432928894064,-0.26272193645405717,-0.25068110216822476,0.04955422623012019
edge_mean,-0.36920832455255276,-0.2740632971556965,-0.2598563847816592,0.05412657591678641
local_contrast_mean,-0.37112110589700725,-0.2742351315246661,-0.26398440101102827,0.06112035009308227
local_contrast_std,-0.3717916767789089,-0.2709917868293905,-0.26518531965246767,0.06810905424782382
edge_std,-0.37490192835638725,-0.274874458876023,-0.265204714266931,0.061106448851514325
