cluster,FD12,FD14,FD16,total,p_FD12,p_FD14,p_FD16,log_odds_FD16vsFD12,label
10.0,98,25,15,138,0.016542876434841324,0.004391357807834183,0.0028636884306987398,-1.753556435357086,"cave, rock, rocks, stone"
12.0,151,108,57,316,0.02548953409858204,0.01897066572984367,0.010882016036655211,-0.8511037591640953,"hand, fist, finger, hands"
25.0,54,29,21,104,0.00911546252532073,0.005093975057087651,0.004009163802978236,-0.821249758738217,"blood, stomach, kidney, vomit"
17.0,134,59,57,250,0.02261985145172181,0.010363604426488671,0.010882016036655211,-0.7316686992595862,"land, mountain, cliff, phoenix"
2.0,69,38,35,142,0.011647535449020932,0.006674863867907957,0.006681939671630393,-0.5556224982295976,"bat, vase, ball, cell"
3.0,87,49,46,182,0.014686022957461175,0.008607061303354997,0.008781977854142803,-0.5141487983987574,"water, spill, pipe, balloon"
13.0,228,190,121,539,0.03848750844024308,0.033374319339539785,0.023100420007636503,-0.510465626837024,"ocean, lake, river, sea"
26.0,202,177,108,487,0.03409858203916273,0.03109081327946601,0.020618556701030927,-0.5030451474356932,"boot, foot, arm, dress"
21.0,140,109,77,326,0.02363268062120189,0.019146320042157036,0.014700267277586864,-0.47473914016571417,"mouth, lips, claw, hammer"
24.0,260,187,152,599,0.04388926401080351,0.032847356402599684,0.029018709431080564,-0.4137172842724728,"head, skull, hat, hair"
22.0,110,107,66,283,0.018568534773801486,0.0187950114175303,0.012600229095074456,-0.38772796605407267,"heart, kiss, kissing, couple"
23.0,36,25,22,83,0.006076975016880486,0.004391357807834183,0.004200076365024819,-0.369330814225588,"sword, statue, crown, axe"
14.0,75,52,47,174,0.012660364618501013,0.009134024240295099,0.008972890416189386,-0.34423590445482777,"eating, chef, teapot, food"
1.0,745,639,512,1896,0.12575962187711007,0.1122431055682417,0.09774723176785033,-0.2519851642498385,"man, woman, person, baby"
18.0,38,35,29,102,0.006414584740040513,0.006147900930967855,0.005536464299350897,-0.1471934576266971,"ogre, gremlin, warthog, ghoul"
-1.0,965,833,792,2590,0.16289669142471302,0.14632004215703495,0.15120274914089346,-0.07449408443129513,"face, nose, faces, lion"
29.0,69,60,58,187,0.011647535449020932,0.010539258738802038,0.011072928598701794,-0.05058688885084184,"plus, separation, two, pattern"
8.0,444,454,391,1289,0.074949358541526,0.07974705779026875,0.07464681176021382,-0.00404479805045499,"island, continent, italy, australia"
15.0,182,210,165,557,0.03072248480756246,0.03688740558580713,0.03150057273768614,0.025010133173658744,"bird, chicken, duck, eagle"
34.0,32,27,32,91,0.0054017555705604325,0.004742666432460917,0.0061092019854906456,0.12305071655821287,"fear, lost, scared, hide"
35.0,58,71,60,189,0.009790681971640782,0.012471456174249078,0.011454753722794959,0.1569588654699796,"fight, scream, conversation, yelling"
31.0,353,427,383,1163,0.05958811613774477,0.07500439135780783,0.07311951126384116,0.20463597698519687,"dragon, elephant, monster, dinosaur"
27.0,55,60,60,175,0.009284267386900743,0.010539258738802038,0.011454753722794959,0.21006312020853724,"smile, troll, laughing, anger"
7.0,43,40,49,132,0.00725860904794058,0.007026172492534692,0.009354715540282551,0.25366146703030257,"mushroom, apple, clover, carrot"
33.0,250,304,286,840,0.04220121539500338,0.053398910943263656,0.054600992745322645,0.257597662075987,"dog, cat, animal, wolf"
6.0,90,93,103,286,0.015192437542201216,0.01633585104514316,0.019663993890798013,0.25797650123926097,"dancer, cross, dancing, dance"
0.0,60,67,71,198,0.01012829169480081,0.011768838924995608,0.013554791905307369,0.29138250860640014,"eyes, eye, hourglass, sunglasses"
19.0,52,60,65,177,0.008777852802160702,0.010539258738802038,0.012409316533027874,0.3461823664146788,"smoke, fire, death, smoking"
32.0,252,375,321,948,0.042538825118163405,0.06587036711751273,0.06128293241695303,0.36507699590230036,"bear, horse, rabbit, pig"
5.0,103,94,137,334,0.01738690074274139,0.016511505357456525,0.026155021000381824,0.40830480785507106,"ink, paint, figure, painting"
20.0,81,103,116,300,0.013673193787981094,0.01809239416827683,0.022145857197403588,0.4821852077787314,"ghost, lamp, ghosts, mirror"
4.0,31,36,52,119,0.005232950708980419,0.006323555243281222,0.009927453226422299,0.6402383115950103,"blob, splatter, blobs, splotches"
30.0,74,112,128,314,0.012491559756921,0.019673282979097137,0.024436807941962582,0.6709981912233034,"witch, demon, angel, genie"
11.0,119,189,209,517,0.020087778528021606,0.03319866502722642,0.03990072546773578,0.6862581907866723,"fish, seahorse, whale, crab"
9.0,93,108,180,381,0.015698852126941255,0.01897066572984367,0.03436426116838488,0.7833949107375489,"alien, sky, space, tornado"
28.0,44,78,95,217,0.007427413909520594,0.01370103636044265,0.018136693394425352,0.8926799160234626,"butterfly, caterpillar, worm, spider"
16.0,47,63,120,230,0.007933828494260635,0.011066221675742139,0.022909507445589918,1.06033390582889,"tree, trees, forest, leaves"
